Probenname	Abschnitt
9.1	Stomach Digesta
9.3	Stomach Mucosa 1
9.4	Stomach Mucosa 2
9.5	Stomach Mucosa 3
9.6	Duodenum Digesta
9.8	Duodenum Mucosa
9.9	Jejunum Digesta
9.11	Jejunum Mucosa
9.12	Ileum Digesta
9.14	Ileum Mucosa
9.15	Colon Digesta
9.17	Colon Mucosa
9.18	Caecum Digesta
9.20	Caecum Mucosa
10.1	Stomach Digesta
10.3	Stomach Mucosa 1
10.4	Stomach Mucosa 2
10.5	Stomach Mucosa 3
10.6	Duodenum Digesta
10.8	Duodenum Mucosa
10.9	Jejunum Digesta
10.11	Jejunum Mucosa
10.12	Ileum Digesta
10.14	Ileum Mucosa
10.15	Colon Digesta
10.17	Colon Mucosa
10.18	Caecum Digesta
10.20	Caecum Mucosa
11.1	Stomach Digesta
11.3	Stomach Mucosa 1
11.4	Stomach Mucosa 2
11.5	Stomach Mucosa 3
11.6	Duodenum Digesta
11.8	Duodenum Mucosa
11.9	Jejunum Digesta
11.11	Jejunum Mucosa
11.12	Ileum Digesta
11.14	Ileum Mucosa
11.15	Colon Digesta
11.17	Colon Mucosa
11.18	Caecum Digesta
11.20	Caecum Mucosa
12.1	Stomach Digesta
12.3	Stomach Mucosa 1
12.4	Stomach Mucosa 2
12.5	Stomach Mucosa 3
12.6	Duodenum Digesta
12.8	Duodenum Mucosa
12.9	Jejunum Digesta
12.11	Jejunum Mucosa
12.12	Ileum Digesta
12.14	Ileum Mucosa
12.15	Colon Digesta
12.17	Colon Mucosa
12.18	Caecum Digesta
12.20	Caecum Mucosa
13.1	Stomach Digesta
13.3	Stomach Mucosa 1
13.4	Stomach Mucosa 2
13.5	Stomach Mucosa 3
13.6	Duodenum Digesta
13.8	Duodenum Mucosa
13.9	Jejunum Digesta
13.11	Jejunum Mucosa
13.12	Ileum Digesta
13.14	Ileum Mucosa
13.15	Colon Digesta
13.17	Colon Mucosa
13.18	Caecum Digesta
13.20	Caecum Mucosa
14.1	Stomach Digesta
14.3	Stomach Mucosa 1
14.4	Stomach Mucosa 2
14.5	Stomach Mucosa 3
14.6	Duodenum Digesta
14.8	Duodenum Mucosa
14.9	Jejunum Digesta
14.11	Jejunum Mucosa
14.12	Ileum Digesta
14.14	Ileum Mucosa
14.15	Colon Digesta
14.17	Colon Mucosa
14.18	Caecum Digesta
14.20	Caecum Mucosa
15.1	Stomach Digesta
15.3	Stomach Mucosa 1
15.4	Stomach Mucosa 2
15.5	Stomach Mucosa 3
15.6	Duodenum Digesta
15.8	Duodenum Mucosa
15.9	Jejunum Digesta
15.11	Jejunum Mucosa
15.12	Ileum Digesta
15.14	Ileum Mucosa
15.15	Colon Digesta
15.17	Colon Mucosa
15.18	Caecum Digesta
15.20	Caecum Mucosa
16.1	Stomach Digesta
16.3	Stomach Mucosa 1
16.4	Stomach Mucosa 2
16.5	Stomach Mucosa 3
16.6	Duodenum Digesta
16.8	Duodenum Mucosa
16.9	Jejunum Digesta
16.11	Jejunum Mucosa
16.12	Ileum Digesta
16.14	Ileum Mucosa
16.15	Colon Digesta
16.17	Caecum Mucosa
16.18	Caecum Digesta
16.20	Colon Mucosa
17.1	Stomach Digesta
17.3	Stomach Mucosa 1
17.4	Stomach Mucosa 2
17.5	Stomach Mucosa 3
17.6	Duodenum Digesta
17.8	Duodenum Mucosa
17.9	Jejunum Digesta
17.11	Jejunum Mucosa
17.12	Ileum Digesta
17.14	Ileum Mucosa
17.15	Colon Digesta
17.17	Colon Mucosa
17.18	Caecum Digesta
17.20	Caecum Mucosa
18.1	Stomach Digesta
18.3	Stomach Mucosa 1
18.4	Stomach Mucosa 2
18.5	Stomach Mucosa 3
18.6	Duodenum Digesta
18.8	Duodenum Mucosa
18.9	Jejunum Digesta
18.11	Jejunum Mucosa
18.12	Ileum Digesta
18.14	Ileum Mucosa
18.15	Colon Digesta
18.17	Colon Mucosa
18.18	Caecum Digesta
18.20	Caecum Mucosa
19.1	Stomach Digesta
19.3	Stomach Mucosa 1
19.4	Stomach Mucosa 2
19.5	Stomach Mucosa 3
19.6	Duodenum Digesta
19.8	Duodenum Mucosa
19.9	Jejunum Digesta
19.11	Jejunum Mucosa
19.12	Ileum Digesta
19.14	Ileum Mucosa
19.15	Colon Digesta
19.17	Colon Mucosa
19.18	Caecum Digesta
19.20	Caecum Mucosa
20.1	Stomach Digesta
20.3	Stomach Mucosa 1
20.4	Stomach Mucosa 2
20.5	Stomach Mucosa 3
20.6	Duodenum Digesta
20.8	Duodenum Mucosa
20.9	Jejunum Digesta
20.11	Jejunum Mucosa
20.12	Ileum Digesta
20.14	Ileum Mucosa
20.15	Colon Digesta
20.17	Colon Mucosa
20.18	Caecum Digesta
20.20	Caecum Mucosa
21.1	Stomach Digesta
21.3	Stomach Mucosa 1
21.4	Stomach Mucosa 2
21.5	Stomach Mucosa 3
21.6	Duodenum Digesta
21.8	Duodenum Mucosa
21.9	Jejunum Digesta
21.11	Jejunum Mucosa
21.12	Ileum Digesta
21.14	Ileum Mucosa
21.15	Colon Digesta
21.17	Colon Mucosa
21.18	Caecum Digesta
21.20	Caecum Mucosa
22.1	Stomach Digesta
22.3	Stomach Mucosa 1
22.4	Stomach Mucosa 2
22.5	Stomach Mucosa 3
22.6	Duodenum Digesta
22.8	Duodenum Mucosa
22.9	Jejunum Digesta
22.11	Jejunum Mucosa
22.12	Ileum Digesta
22.14	Ileum Mucosa
22.15	Colon Digesta
22.17	Colon Mucosa
22.18	Caecum Digesta
22.20	Caecum Mucosa
22.21	Duodenum Mucosa
23.1	Stomach Digesta
23.3	Stomach Mucosa 1
23.4	Stomach Mucosa 2
23.5	Stomach Mucosa 3
23.6	Duodenum Digesta
23.8	Duodenum Mucosa
23.9	Jejunum Digesta
23.11	Jejunum Mucosa
23.12	Ileum Digesta
23.14	Ileum Mucosa
23.15	Colon Digesta
23.17	Colon Mucosa
23.18	Caecum Digesta
23.20	Caecum Mucosa
24.1	Stomach Digesta
24.3	Stomach Mucosa 1
24.4	Stomach Mucosa 2
24.5	Stomach Mucosa 3
24.6	Duodenum Digesta
24.8	Duodenum Mucosa
24.9	Jejunum Digesta
24.11	Jejunum Mucosa
24.12	Ileum Digesta
24.14	Ileum Mucosa
24.15	Colon Digesta
24.17	Colon Mucosa
24.18	Caecum Digesta
24.20	Caecum Mucosa
25.1	Stomach Digesta
25.3	Stomach Mucosa 1
