Genome	PSM count	Peptide count	Unique peptide count	GTDB_Name	GTDB_Rank	GTDB_Superkingdom	GTDB_Kingdom	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species	NCBI_Name	NCBI_Rank	NCBI_Superkingdom	NCBI_Kingdom	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	Intensity 10_18	Intensity 10_9	Intensity 11_18	Intensity 11_9	Intensity 12_18	Intensity 12_9	Intensity 13_18	Intensity 13_9	Intensity 14_18	Intensity 14_9	Intensity 15_18	Intensity 15_9	Intensity 16_18	Intensity 16_9	Intensity 17_18	Intensity 17_9	Intensity 18_18	Intensity 18_9	Intensity 9_18	Intensity 9_9
MGYG000300972	1616	31	6	Veillonellaceae	Family	Bacteria		Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae													285342.85714285716	95350.0	202500.0	0.0	5.410171428571428E7	0.0	954912.8571428572	0.0	271985.71428571426	0.0	208971.42857142858	0.0	0.0	0.0	295185.71428571426	0.0	203385.7142857143	0.0	394985.71428571426	0.0
MGYG000301700	887	55	8	JAAYQA01	Genus	Bacteria		Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	JAAYQA01												1.493559E7	976660.0	5.13556E7	9794770.0	1.89299E7	1417000.0	2.927286E8	0.0	3.476925E7	894760.0	8856800.0	1136300.0	2.047795E7	0.0	9512800.0	990340.0	1.40947E7	3193020.0	2.21106E7	750680.0
MGYG000301821	492	17	1	Treponema_D sp900769985	Species	Bacteria		Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp900769985	Spirochaetia	Class	Bacteria		Spirochaetes	Spirochaetia					1798520.0	0.0	675000.0	0.0	799780.0	0.0	2327000.0	0.0	1576880.0	0.0	676660.0	0.0	801320.0	0.0	400600.0	0.0	292200.0	0.0	1765540.0	0.0
MGYG000300854	1276	72	8	CAG-791 sp002353635	Species	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-791	CAG-791 sp002353635	Lachnospiraceae	Family	Bacteria		Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae			4179442.8571428573	1457800.0	7.109797142857143E7	107642.85714285714	1.50463E7	0.0	6.1857431428571425E7	0.0	1.3670162142857143E8	0.0	1.147334042857143E7	664700.0	1.1627542857142856E7	1842435.7142857143	4089900.0	101900.0	1.4491E7	0.0	3.5473228571428575E7	64286.42857142857
MGYG000301701	9621	861	134	Faecalibacterium prausnitzii_G	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_G	Faecalibacterium prausnitzii	Species	Bacteria		Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii	1.4078604030909092E9	1.4031779409090908E7	7.383394051515152E8	7.1053896E7	6.038965357727273E8	1.7904834666666664E7	6.064990961666666E8	2.514826E7	5.618870362121212E8	1.7091235833333332E7	7.058877363787879E8	1.703959E7	1.2937914972424242E9	4.406730133333333E7	1.0771963671666667E9	1.2572955E7	8.015122568030303E8	8895559.5	1.2497982101666667E9	1.1934394E7
MGYG000300855	2555	114	11	UBA6857	Genus	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA6857												2036845.576923077	1012200.0	1.7231941923076922E8	0.0	401807.6923076923	0.0	0.0	1960100.0	2.3814675E8	0.0	2358800.0	0.0	2.5134742307692308E7	800900.0	0.0	0.0	0.0	0.0	4.0817102884615384E7	0.0
MGYG000301825	3326	165	14	CAG-882	Genus	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-882												1.0967249721222042E8	1325810.0	9.465190666666667E7	0.0	1.32874E7	1818700.0	4.6678535957446806E7	0.0	9.257686340425532E7	0.0	3.1324843333333332E7	928069.8461538461	4.629346304964539E7	600110.0	1.1402883737588653E7	0.0	1.9862366666666664E7	172930.0	4.3909175673758864E7	282840.0
MGYG000300977	7239	885	55	Alloprevotella sp004556745	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp004556745	Bacteroidales	Order	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales				3.73722011E8	1.2312355633333333E8	6.282781605555556E8	5.6823873333333336E7	1.6699782138888887E8	4.7759296666666664E7	4.259567199444444E8	1.480659301666667E8	3.9008197768253964E8	6.304043666666667E7	6.457486097222222E8	7.102450433333333E7	4.260446503333333E8	1.29324546E8	1.734960581547619E9	1.7093485833333334E8	5.381882433690476E8	1.2059058008333334E8	3.590854167380953E8	1.1071536933333333E8
MGYG000301704	4381	279	47	Alloprevotella sp004558535	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp004558535	Bacteroidales	Order	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales				2.9417434E8	7898140.0	1.9884074E8	7494000.0	1.4156289E8	1.123124E7	1.84256888E8	1.683605E7	3.07856862E8	1.96849E7	4.20647509E8	1.34598E7	1.84338242E8	1.579906E7	1.9071376E8	7775655.0	8.804591E7	4127340.0	3.31655084E8	1.6257846E7
MGYG000300857	1002	47	5	ER4 sp003522105	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp003522105	Eubacteriales	Order	Bacteria		Firmicutes	Clostridia	Eubacteriales				8767833.333333334	0.0	2.0711672222222224E7	4480900.0	2433000.0	0.0	2.4053444444444444E7	4315300.0	6.256109555555556E7	1404200.0	4954166.666666667	0.0	1.6280143333333334E7	0.0	8861900.0	0.0	5893330.0	0.0	9053183.333333334	0.0
MGYG000300978	1357	65	4	Paraeggerthella hongkongensis_A	Species	Bacteria		Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Paraeggerthella	Paraeggerthella hongkongensis_A	Eggerthella	Genus	Bacteria		Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella		4.7915733333333336E7	0.0	1154633.3333333335	991320.0	1081926.6666666665	0.0	8592083.333333334	0.0	4.1766566666666664E7	0.0	8079500.0	0.0	8193033.333333333	0.0	2841200.0	0.0	6464166.666666667	0.0	2.8868663333333332E7	0.0
MGYG000301945	1374	49	6	Aphodosoma sp016292775	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Aphodosoma	Aphodosoma sp016292775	Paludibacteraceae	Family	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Paludibacteraceae			5.2796E7	4674500.0	2.74263E7	0.0	3787520.0	0.0	6.2513E7	0.0	4.28762E7	0.0	3.92531E7	0.0	1.589E7	747240.0	2724450.0	1787700.0	1.11355E7	1144300.0	5.691175E7	0.0
MGYG000300616	19	5	2	Avimuribaculum	Genus	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Avimuribaculum												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG000301705	170	16	4	UBA644 sp002299265	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	UBA644	UBA644	UBA644 sp002299265	Eubacteriales	Order	Bacteria		Firmicutes	Clostridia	Eubacteriales				807140.0	1140900.0	813390.0	0.0	2130400.0	0.0	5617500.0	0.0	8984600.0	0.0	0.0	381920.0	3.9771E7	766080.0	2344700.0	0.0	3718200.0	1027700.0	1342300.0	0.0
MGYG000301949	949	47	3	Anaeroplasma	Genus	Bacteria		Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	Anaeroplasma												1.054915E7	0.0	2.18234E7	0.0	0.0	0.0	1.29744E7	284240.0	6076550.0	0.0	2274200.0	0.0	4061100.0	0.0	3687400.0	8462000.0	0.0	1899300.0	1.17973E7	0.0
MGYG000301707	138	14	4	Avelusimicrobium sp900762815	Species	Bacteria		Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Avelusimicrobium	Avelusimicrobium sp900762815	Elusimicrobiales	Order	Bacteria		Elusimicrobia	Elusimicrobia	Elusimicrobiales				2.20089E7	0.0	1403500.0	0.0	1.4994E7	0.0	1.91449E7	0.0	1.677466E7	0.0	3.438576E7	0.0	2.406057E7	0.0	2.43107E7	0.0	5.1249E7	0.0	3.28722E7	0.0
MGYG000299773	544	34	4	RF16 sp017525455	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp017525455	Paludibacteraceae	Family	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Paludibacteraceae			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	943200.0	0.0	0.0	0.0	0.0	0.0	2014260.0	0.0	1797900.0	0.0	2.584325E7	0.0
MGYG000301832	1232	61	8	UBA3207	Genus	Bacteria		Firmicutes	Bacilli	RFN20	CAG-826	UBA3207												2.1221E7	0.0	4813100.0	0.0	2.15362E7	0.0	1.60394E7	0.0	1.40724E7	0.0	4852700.0	0.0	2347600.0	0.0	4734400.0	0.0	8426200.0	0.0	7957200.0	0.0
MGYG000302800	761	52	8	UBA737	Genus	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA737												4102883.5714285714	1571300.0	1.69848E7	0.0	0.0	273480.0	2.0228770714285713E7	0.0	2.337267142857143E7	0.0	9651817.857142858	0.0	6399466.428571429	0.0	8211529.285714285	0.0	3.5038431428571425E7	0.0	3454057.1428571427	0.0
MGYG000300502	415	48	6	CAG-791	Genus	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-791												3.0106714285714287E7	4164300.0	2.435655714285714E7	2.2662E7	6648164.285714285	3767930.0	3.7356783333333336E7	8230070.0	3.0434914285714287E7	3264900.0	2.308075E7	1212200.0	1.6205E7	0.0	4.080045E7	0.0	8848090.0	5295500.0	3.613500238095238E7	0.0
MGYG000300865	1563	82	6	F23-B02 sp004558025	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	F23-B02	F23-B02 sp004558025	Bacteria	Subkingdom	Bacteria								3610511.25	328263.3333333333	5558550.0	0.0	5947575.0	0.0	2665350.0	0.0	352900.0	0.0	879700.0	131373.33333333334	8180275.0	172730.0	6129175.0	0.0	3456600.0	0.0	2.9357299166666668E7	0.0
MGYG000301834	18	3	2	Paracoccus	Genus	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus												0.0	0.0	0.0	0.0	0.0	109790.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1217700.0	0.0	0.0	0.0	0.0	0.0
MGYG000301954	5286	332	25	SFDP01 sp004558185	Species	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	SFDP01	SFDP01 sp004558185	Lachnospiraceae	Family	Bacteria		Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae			9.738503858333334E7	1.2917320333333334E7	1.592640333333333E8	1.3113883333333334E7	7.954417466666667E7	1.1394265E7	1.674504338333333E8	3673870.0	1.7406239758333334E8	5548600.0	1.1196082708333333E8	1.6788265E7	8.966775216666667E7	2.22101E7	4.5366809583333336E7	1.1965253E7	3.697378E7	8324756.666666667	1.833026983333333E8	5804800.0
MGYG000302922	1820	44	1	Faecousia sp016296045	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia sp016296045	Oscillospiraceae	Family	Bacteria		Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae			1316216.6666666667	0.0	683455.5555555555	0.0	2547850.0	0.0	2688877.777777778	0.0	3896522.222222222	0.0	2473941.6666666665	0.0	0.0	0.0	1.5004199999999998E7	0.0	0.0	0.0	0.0	0.0
MGYG000301712	375	27	4	Avipropionibacterium	Genus	Bacteria		Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Avipropionibacterium												3996600.0	8581600.0	1.097E7	1.1364E7	2789000.0	4791200.0	2.1569E7	4012300.0	9987400.0	966820.0	9131400.0	4944990.0	0.0	4341040.0	1.613293E8	1318900.0	4130700.0	1.414365E7	4.05619E7	6700800.0
